Source,Target,weight,label
-9189283624875180872,-7784712059813151204,3345,3345
-8745505558082406655,-7784712059813151204,6129,6129
-8445470335412454848,-7784712059813151204,1317,1317
-8214467404883938797,-7784712059813151204,502,502
-7784712059813151204,-7675450448203336984,1734,1734
-7784712059813151204,-7537657905707207481,779,779
-7784712059813151204,-6861850936062169047,1161,1161
-7784712059813151204,-6657017815155132421,829,829
-7784712059813151204,-6026813875032476846,6791,6791
-7784712059813151204,-5846950087260686514,775,775
-7784712059813151204,-5264754114606649098,980,980
-7784712059813151204,-4995287720068695020,857,857
-7784712059813151204,-4674365320703232734,758,758
-7784712059813151204,-4129215337742647371,739,739
-7784712059813151204,-3810326145888079572,3302,3302
-7784712059813151204,-3700314938593300040,678,678
-7784712059813151204,-3358320156885107738,1198,1198
-7784712059813151204,-3268067683072787167,3188,3188
-7784712059813151204,-1092374183810287215,5889,5889
-7784712059813151204,160009025870183982,2572,2572
-7784712059813151204,411522172308304650,992,992
-7784712059813151204,1033778921950427255,1691,1691
-7784712059813151204,2046717060284365437,536,536
-7784712059813151204,2435365756379674207,594,594
-7784712059813151204,2589265509983531627,7035,7035
-7784712059813151204,2695305337569098618,7241,7241
-7784712059813151204,2811838510934669772,2354,2354
-7784712059813151204,3039183585666478258,9421,9421
-7784712059813151204,5074974895441262076,1515,1515
-7784712059813151204,6059137422770648348,1438,1438
-7784712059813151204,6405593197437662758,698,698
-7784712059813151204,7519427517373691798,2732,2732
-7784712059813151204,8458982604760233040,714,714
-9054730520840161619,-7784712059813151204,3337,3337
-8481753544240448093,-7784712059813151204,676,676
-7784712059813151204,-6944071657116387530,840,840
-7784712059813151204,-5904698658142210447,1572,1572
-7784712059813151204,-4387858203142964056,2130,2130
-7784712059813151204,-3869629224220610070,1232,1232
-7784712059813151204,-3522223837183396362,1345,1345
-7784712059813151204,-3473508732087881092,555,555
-7784712059813151204,-3304550021239131016,4039,4039
-7784712059813151204,-2733769994685039948,591,591
-7784712059813151204,-2406154927270380003,5685,5685
-7784712059813151204,-2159223491519827085,663,663
-7784712059813151204,-1423000256242238038,1571,1571
-7784712059813151204,603774118492778883,3234,3234
-7784712059813151204,1108832248229541119,1879,1879
-7784712059813151204,1695560610886202841,645,645
-7784712059813151204,1768082660194401914,843,843
-7784712059813151204,1960646417337105237,3572,3572
-7784712059813151204,3946370886449903125,567,567
-7784712059813151204,5371115335115552567,571,571
-7784712059813151204,7341486337184709423,2086,2086
-9096232754884560930,-7784712059813151204,11346,11346
-8891087951811101969,-7784712059813151204,821,821
-8881380130726595018,-7784712059813151204,544,544
-8638814388602130013,-7784712059813151204,1406,1406
-8476437303145384835,-7784712059813151204,1379,1379
-7784712059813151204,-7702246673281502833,1330,1330
-7784712059813151204,-7426124097735608676,2233,2233
-7784712059813151204,-6835537133953598467,1154,1154
-7784712059813151204,-6806691435797463535,5934,5934
-7784712059813151204,-6174967750217613587,1910,1910
-7784712059813151204,-6148556074643278874,523,523
-7784712059813151204,-5835361465413913482,1284,1284
-7784712059813151204,-4999257352771650151,1910,1910
-7784712059813151204,-4666453782075787270,2943,2943
-7784712059813151204,-4060513158963513109,3904,3904
-7784712059813151204,-2179786877876424548,2702,2702
-7784712059813151204,-2159857214311285554,7939,7939
-7784712059813151204,-2158435871750802565,2367,2367
-7784712059813151204,-1521781524640025379,1375,1375
-7784712059813151204,-560123512857411715,524,524
-7784712059813151204,-464204487869910793,1477,1477
-7784712059813151204,-273033171021384035,3757,3757
-7784712059813151204,622694523106574329,521,521
-7784712059813151204,865030606091400331,940,940
-7784712059813151204,2087922859966410869,601,601
-7784712059813151204,2128594542511665643,783,783
-7784712059813151204,2421156375800528076,884,884
-7784712059813151204,2707166451744194534,2811,2811
-7784712059813151204,2768059539183056150,1241,1241
-7784712059813151204,3645692567939266464,3112,3112
-7784712059813151204,4775248038139805003,529,529
-7784712059813151204,7057794358978688335,1558,1558
-7784712059813151204,7484248958687458596,1214,1214
-7784712059813151204,7744895437826374207,1372,1372
-7784712059813151204,7847537258258185880,1891,1891
-7784712059813151204,8584721346566371541,721,721
