id,label,name,degree
2046717060284365437,review,review,1
-3365402510077576223,vuejs,vuejs,2
-3473508732087881092,jmeter,jmeter,2
-3268067683072787167,app,app,43
-9096232754884560930,mysql,mysql,81
3193173518988490583,axure,axure,1
-6174967750217613587,dubbo,dubbo,5
2811838510934669772,ajax,ajax,9
-6148556074643278874,service,service,2
-4060513158963513109,css,css,10
-6026813875032476846,sql,sql,52
2435365756379674207,golang,golang,4
-4050477985649184306,photoshop,photoshop,4
-6944071657116387530,nosql,nosql,3
-9189283624875180872,http,http,44
-2479076574622892161,dom,dom,3
1960646417337105237,tomcat,tomcat,8
8458982604760233040,framework,framework,1
4357639940090376395,reactjs,reactjs,2
-2337037304635902232,lnmp,lnmp,2
7519427517373691798,mongodb,mongodb,9
-2158435871750802565,tcp,tcp,9
-8297720995641411256,store,store,1
6059137422770648348,kafka,kafka,4
-464204487869910793,io,io,4
-3304550021239131016,jquery,jquery,10
-7759278799329347035,asp,asp,3
-8745505558082406655,redis,redis,10
865030606091400331,sqlserver,sqlserver,5
-1043076841826534975,xhtml,xhtml,3
-8984704452568796311,sketch,sketch,2
-4387858203142964056,android,android,4
-273033171021384035,html,html,58
-3810326145888079572,hibernate,hibernate,7
-9054730520840161619,j2ee,j2ee,7
-8481753544240448093,hive,hive,2
3142100258669736279,django,django,4
-7784712059813151204,java,java,90
-6294258839182494498,sas,sas,1
-4666453782075787270,mvc,mvc,9
-6657017815155132421,soa,soa,2
5669528293118392224,www,www,2
-1985366962235755618,postgresql,postgresql,1
6037207175837857529,mvvm,mvvm,2
5269705119417905242,ai,ai,1
-4876003296321717233,pc,pc,5
6405593197437662758,ruby,ruby,3
1768082660194401914,elasticsearch,elasticsearch,3
2707166451744194534,shell,shell,9
-2179786877876424548,php,php,10
-2159223491519827085,struts2,struts2,1
-560123512857411715,perl,perl,4
-4999257352771650151,git,git,10
-6659696680396705782,flash,flash,1
-6835537133953598467,cloud,cloud,2
7341486337184709423,html5,html5,10
-5264754114606649098,apache,apache,8
2754757901767751842,lamp,lamp,1
-8445470335412454848,ibatis,ibatis,4
2176853502720618633,typescript,typescript,1
5074974895441262076,json,json,9
-5414993972319602247,w3c,w3c,3
-6806691435797463535,oracle,oracle,9
622694523106574329,ee,ee,1
3645692567939266464,js,js,10
-8476437303145384835,api,api,10
457644081920749895,laravel,laravel,3
603774118492778883,springmvc,springmvc,7
-3522223837183396362,server,server,7
2695305337569098618,web,web,76
6903485232791761071,zabbix,zabbix,2
-5904698658142210447,bug,bug,10
2128594542511665643,mq,mq,2
-4659034257681990730,excel,excel,1
7847537258258185880,jvm,jvm,5
-6861850936062169047,servlet,servlet,5
-2733769994685039948,rpc,rpc,2
-5846950087260686514,rabbitmq,rabbitmq,2
4775248038139805003,webpack,webpack,5
-8638814388602130013,boot,boot,3
-7675450448203336984,ip,ip,8
4064891571011074380,div,div,4
411522172308304650,docker,docker,5
-4995287720068695020,scala,scala,2
2768059539183056150,react,react,7
3574787208394128407,flask,flask,1
8584721346566371541,h5,h5,6
-7537657905707207481,jboss,jboss,2
-8102260625013720780,xcode,xcode,1
-7702246673281502833,vue,vue,9
-1521781524640025379,sdk,sdk,3
4628177386949784567,oop,oop,2
-4129215337742647371,memcache,memcache,5
3039183585666478258,spring,spring,9
2421156375800528076,zookeeper,zookeeper,3
7484248958687458596,css3,css3,7
-6871805885232958587,dreamweaver,dreamweaver,1
3885007491926212353,ci,ci,1
-8214467404883938797,selenium,selenium,2
-3869629224220610070,bootstrap,bootstrap,8
-5440734165330348305,yii,yii,2
-8881380130726595018,jdbc,jdbc,1
1695560610886202841,ssh,ssh,2
7429265519267953816,nodejs,nodejs,2
5371115335115552567,c,c,2
871557107850427658,es6,es6,4
3946370886449903125,node,node,5
8245816881551523383,illustrator,illustrator,2
5558406874053753951,com,com,2
2589265509983531627,python,python,47
1033778921950427255,hbase,hbase,5
4462447588911890185,gulp,gulp,3
2273687203114921985,sass,sass,2
-7426124097735608676,spark,spark,5
7744895437826374207,eclipse,eclipse,5
-3700314938593300040,webservice,webservice,3
1108832248229541119,xml,xml,9
2087922859966410869,angularjs,angularjs,4
7057794358978688335,socket,socket,7
-3358320156885107738,springboot,springboot,2
-5835361465413913482,svn,svn,7
-2159857214311285554,linux,linux,62
160009025870183982,hadoop,hadoop,5
-1092374183810287215,mybatis,mybatis,8
-8891087951811101969,storm,storm,2
5647053732965528546,thinkphp,thinkphp,5
-4674365320703232734,github,github,8
-1423000256242238038,jsp,jsp,6
6774940305471585130,https,https,1
-8641629872156953748,ps,ps,2
-6082952131478998945,grunt,grunt,3
-4659302083593487529,websocket,websocket,2
-2406154927270380003,javascript,javascript,68
