Source,Target,weight,label
-9189283624875180872,-7784712059813151204,3345,3345
-9189283624875180872,-7675450448203336984,2833,2833
-9189283624875180872,-4060513158963513109,1868,1868
-9189283624875180872,-3304550021239131016,1221,1221
-9189283624875180872,-3268067683072787167,1981,1981
-9189283624875180872,-2406154927270380003,2618,2618
-9189283624875180872,-273033171021384035,1928,1928
-9189283624875180872,2589265509983531627,1589,1589
-9189283624875180872,2695305337569098618,2812,2812
-9189283624875180872,3645692567939266464,1686,1686
-9189283624875180872,5074974895441262076,1484,1484
-9189283624875180872,5669528293118392224,1181,1181
-9189283624875180872,7341486337184709423,1359,1359
-9096232754884560930,-6174967750217613587,1526,1526
-9096232754884560930,-6026813875032476846,7707,7707
-9096232754884560930,-5264754114606649098,1912,1912
-9096232754884560930,-4060513158963513109,4872,4872
-9096232754884560930,-3869629224220610070,1075,1075
-9096232754884560930,-3810326145888079572,2273,2273
-9096232754884560930,-3522223837183396362,1760,1760
-9096232754884560930,160009025870183982,1527,1527
-9096232754884560930,1033778921950427255,1139,1139
-9096232754884560930,1108832248229541119,1669,1669
-9096232754884560930,2707166451744194534,3666,3666
-9096232754884560930,2811838510934669772,3072,3072
-9096232754884560930,3039183585666478258,6792,6792
-9096232754884560930,3645692567939266464,2605,2605
-9054730520840161619,-3304550021239131016,1110,1110
-9054730520840161619,-2406154927270380003,1310,1310
-9054730520840161619,-2159857214311285554,1064,1064
-9054730520840161619,2695305337569098618,1466,1466
-9054730520840161619,3039183585666478258,2808,2808
-8984704452568796311,-4050477985649184306,1200,1200
-8891087951811101969,160009025870183982,1085,1085
-8745505558082406655,-8476437303145384835,1073,1073
-8745505558082406655,-7784712059813151204,6129,6129
-8745505558082406655,-6174967750217613587,1529,1529
-8745505558082406655,-6026813875032476846,3082,3082
-8745505558082406655,-4060513158963513109,1919,1919
-8745505558082406655,-2179786877876424548,2888,2888
-8745505558082406655,2589265509983531627,2987,2987
-8745505558082406655,2811838510934669772,1097,1097
-8745505558082406655,3039183585666478258,4132,4132
-8745505558082406655,6059137422770648348,1340,1340
-8638814388602130013,3039183585666478258,1517,1517
-8491974549885993122,-4288244399130394731,3048,3048
-8491974549885993122,-1788134360438261396,1365,1365
-8476437303145384835,-2406154927270380003,1118,1118
-8445470335412454848,-7784712059813151204,1317,1317
-8445470335412454848,3039183585666478258,1326,1326
-7893553258893394166,3193173518988490583,1519,1519
-7784712059813151204,-7675450448203336984,1734,1734
-7784712059813151204,-6861850936062169047,1161,1161
-7784712059813151204,-6026813875032476846,6791,6791
-7784712059813151204,-3810326145888079572,3302,3302
-7784712059813151204,-3358320156885107738,1198,1198
-7784712059813151204,-3268067683072787167,3188,3188
-7784712059813151204,-1092374183810287215,5889,5889
-7784712059813151204,160009025870183982,2572,2572
