id,label,name,degree
-3268067683072787167,app,app,22
-9096232754884560930,mysql,mysql,52
3193173518988490583,axure,axure,1
-6174967750217613587,dubbo,dubbo,5
2811838510934669772,ajax,ajax,22
-9045514412949687915,d,d,1
-4060513158963513109,css,css,39
-6026813875032476846,sql,sql,29
-4050477985649184306,photoshop,photoshop,12
-9189283624875180872,http,http,24
-2479076574622892161,dom,dom,4
1960646417337105237,tomcat,tomcat,16
7519427517373691798,mongodb,mongodb,11
-2158435871750802565,tcp,tcp,11
6059137422770648348,kafka,kafka,3
-464204487869910793,io,io,3
-3304550021239131016,jquery,jquery,37
-8745505558082406655,redis,redis,33
865030606091400331,sqlserver,sqlserver,2
-3296130994422989526,coreldraw,coreldraw,1
-1043076841826534975,xhtml,xhtml,3
-8984704452568796311,sketch,sketch,1
-4387858203142964056,android,android,2
-273033171021384035,html,html,36
-3810326145888079572,hibernate,hibernate,13
-9054730520840161619,j2ee,j2ee,13
-8481753544240448093,hive,hive,1
-7784712059813151204,java,java,56
-4666453782075787270,mvc,mvc,17
5669528293118392224,www,www,2
5269705119417905242,ai,ai,2
-4876003296321717233,pc,pc,10
6405593197437662758,ruby,ruby,1
2707166451744194534,shell,shell,12
-2179786877876424548,php,php,25
-5279551511944939224,ae,ae,1
-560123512857411715,perl,perl,2
-4999257352771650151,git,git,11
-6659696680396705782,flash,flash,2
-6835537133953598467,cloud,cloud,2
7341486337184709423,html5,html5,27
-5264754114606649098,apache,apache,3
-8445470335412454848,ibatis,ibatis,2
5074974895441262076,json,json,13
-5414993972319602247,w3c,w3c,9
-6806691435797463535,oracle,oracle,23
3645692567939266464,js,js,34
-8476437303145384835,api,api,6
457644081920749895,laravel,laravel,2
603774118492778883,springmvc,springmvc,13
-3522223837183396362,server,server,5
2695305337569098618,web,web,47
-5904698658142210447,bug,bug,6
-4659034257681990730,excel,excel,3
7847537258258185880,jvm,jvm,3
-6861850936062169047,servlet,servlet,1
-5846950087260686514,rabbitmq,rabbitmq,1
4775248038139805003,webpack,webpack,12
-8638814388602130013,boot,boot,3
-7675450448203336984,ip,ip,7
4064891571011074380,div,div,8
411522172308304650,docker,docker,4
2768059539183056150,react,react,14
8584721346566371541,h5,h5,11
-7893553258893394166,visio,visio,1
-7702246673281502833,vue,vue,21
-1521781524640025379,sdk,sdk,3
-4129215337742647371,memcache,memcache,3
3039183585666478258,spring,spring,27
7484248958687458596,css3,css3,22
-6871805885232958587,dreamweaver,dreamweaver,1
-3869629224220610070,bootstrap,bootstrap,13
-5440734165330348305,yii,yii,1
871557107850427658,es6,es6,10
3946370886449903125,node,node,2
8245816881551523383,illustrator,illustrator,2
5558406874053753951,com,com,2
2589265509983531627,python,python,24
1033778921950427255,hbase,hbase,6
4462447588911890185,gulp,gulp,10
-7426124097735608676,spark,spark,7
7744895437826374207,eclipse,eclipse,1
1108832248229541119,xml,xml,13
2087922859966410869,angularjs,angularjs,9
7057794358978688335,socket,socket,5
-3358320156885107738,springboot,springboot,1
-5835361465413913482,svn,svn,3
-2159857214311285554,linux,linux,34
160009025870183982,hadoop,hadoop,11
-1092374183810287215,mybatis,mybatis,19
-8891087951811101969,storm,storm,2
5647053732965528546,thinkphp,thinkphp,2
-1423000256242238038,jsp,jsp,5
-8641629872156953748,ps,ps,2
-2406154927270380003,javascript,javascript,46
-8491974549885993122,ppt,ppt,3
-4288244399130394731,word,word,3
-1788134360438261396,office,office,3
