Source,Target,weight,label
-9189283624875180872,-7784712059813151204,3345,3345
-9189283624875180872,-2406154927270380003,2618,2618
-9189283624875180872,2695305337569098618,2812,2812
-9096232754884560930,-6026813875032476846,7707,7707
-9096232754884560930,-4060513158963513109,4872,4872
-9096232754884560930,-3810326145888079572,2273,2273
-9096232754884560930,2707166451744194534,3666,3666
-9096232754884560930,2811838510934669772,3072,3072
-9096232754884560930,3039183585666478258,6792,6792
-9096232754884560930,3645692567939266464,2605,2605
-9054730520840161619,3039183585666478258,2808,2808
-8745505558082406655,-7784712059813151204,6129,6129
-8745505558082406655,-6026813875032476846,3082,3082
-8745505558082406655,3039183585666478258,4132,4132
-7784712059813151204,-6026813875032476846,6791,6791
-7784712059813151204,-3810326145888079572,3302,3302
-7784712059813151204,-3268067683072787167,3188,3188
-7784712059813151204,-1092374183810287215,5889,5889
-7784712059813151204,160009025870183982,2572,2572
-7784712059813151204,2589265509983531627,7035,7035
-7784712059813151204,2695305337569098618,7241,7241
-7784712059813151204,2811838510934669772,2354,2354
-7784712059813151204,3039183585666478258,9421,9421
-7784712059813151204,7519427517373691798,2732,2732
-7702246673281502833,-273033171021384035,3452,3452
-7702246673281502833,2695305337569098618,4621,4621
-6806691435797463535,-6026813875032476846,5080,5080
-6806691435797463535,-2406154927270380003,2538,2538
-6806691435797463535,-2159857214311285554,2975,2975
-6806691435797463535,2695305337569098618,2589,2589
-6026813875032476846,-4666453782075787270,2169,2169
-6026813875032476846,-3522223837183396362,3060,3060
-6026813875032476846,-3304550021239131016,2872,2872
-6026813875032476846,-2406154927270380003,3533,3533
-4876003296321717233,2695305337569098618,2061,2061
-4666453782075787270,-3304550021239131016,2318,2318
-4666453782075787270,-2406154927270380003,2867,2867
-4666453782075787270,-273033171021384035,2156,2156
-4060513158963513109,-3869629224220610070,2530,2530
-4060513158963513109,3645692567939266464,6235,6235
-4060513158963513109,4064891571011074380,2625,2625
-3869629224220610070,-273033171021384035,2197,2197
-3304550021239131016,-2179786877876424548,2335,2335
-3304550021239131016,5074974895441262076,2218,2218
-3304550021239131016,7484248958687458596,4006,4006
-2406154927270380003,1108832248229541119,2791,2791
-2406154927270380003,2695305337569098618,11203,11203
-2406154927270380003,2768059539183056150,4154,4154
-2406154927270380003,4775248038139805003,2612,2612
-2406154927270380003,8584721346566371541,2400,2400
-2179786877876424548,2695305337569098618,4238,4238
-2159857214311285554,-2158435871750802565,2498,2498
-2159857214311285554,1960646417337105237,2070,2070
-273033171021384035,7341486337184709423,3712,3712
2589265509983531627,2695305337569098618,3309,3309
