Source,Target,weight,label
-9096232754884560930,-4060513158963513109,4872,4872
-9096232754884560930,3039183585666478258,6792,6792
-8745505558082406655,-7784712059813151204,6129,6129
-8745505558082406655,3039183585666478258,4132,4132
-7784712059813151204,2695305337569098618,7241,7241
-7784712059813151204,3039183585666478258,9421,9421
-2406154927270380003,2695305337569098618,11203,11203
-9096232754884560930,-8745505558082406655,9384,9384
-9096232754884560930,-3304550021239131016,4239,4239
-9096232754884560930,-2406154927270380003,5822,5822
-9096232754884560930,-2159857214311285554,10703,10703
-9096232754884560930,-273033171021384035,4648,4648
-9096232754884560930,2695305337569098618,7179,7179
-8745505558082406655,-2406154927270380003,2362,2362
-8745505558082406655,-2159857214311285554,5411,5411
-7784712059813151204,-3304550021239131016,4039,4039
-7784712059813151204,-2406154927270380003,5685,5685
-4060513158963513109,-3304550021239131016,7404,7404
-4060513158963513109,-273033171021384035,11992,11992
-2406154927270380003,-2159857214311285554,3264,3264
-2406154927270380003,3039183585666478258,2791,2791
-2159857214311285554,2695305337569098618,4763,4763
-2159857214311285554,3039183585666478258,3069,3069
-273033171021384035,2695305337569098618,8306,8306
2695305337569098618,3039183585666478258,3449,3449
-9096232754884560930,-7784712059813151204,11346,11346
-8745505558082406655,2695305337569098618,3560,3560
-7784712059813151204,-4060513158963513109,3904,3904
-7784712059813151204,-2159857214311285554,7939,7939
-7784712059813151204,-273033171021384035,3757,3757
-4060513158963513109,-2406154927270380003,11909,11909
-4060513158963513109,-2159857214311285554,2648,2648
-4060513158963513109,2695305337569098618,8959,8959
-3304550021239131016,-2406154927270380003,9164,9164
-3304550021239131016,-273033171021384035,6497,6497
-3304550021239131016,2695305337569098618,7253,7253
-3304550021239131016,3039183585666478258,2610,2610
-2406154927270380003,-273033171021384035,11040,11040
-2159857214311285554,-273033171021384035,2621,2621
